"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geodata_center";"geoarea";
"8523";"«Алтуфьевское ш., 95», Алтуфьевское шоссе (8523)";"37.58795605";"55.90220573";"Алтуфьевское шоссе";"Северо-Восточный административный округ";"район Бибирево";"А1007; АН9; АТ80";"Алтуфьевское ш., 95";"";"нет";"";"активна";"889092668";"{""coordinates"":[37.58795605,55.90220573],""type"":""Point""}";"";
"8524";"«6-й мкр. Бибирева (выс.)», Алтуфьевское шоссе (8524)";"37.58839080835437";"55.90498081026598";"Алтуфьевское шоссе";"Северо-Восточный административный округ";"район Бибирево";"А644; АН9; А836; АТ73; АТ80";"6-й мкр. Бибирева (выс.)";"";"нет";"";"активна";"889092669";"{""coordinates"":[37.5883908083544,55.904980810266],""type"":""Point""}";"";
"8525";"«Школа», Большая Марфинская улица (8525)";"37.59237486";"55.83101036";"Большая Марфинская улица";"Северо-Восточный административный округ";"район Марфино";"А76к; А85; А76; А599";"Школа";"";"да";"ГУП «Мосгортранс»";"активна";"889092670";"{""coordinates"":[37.59237486,55.83101036],""type"":""Point""}";"";
"8526";"«Гост. Останкино», Большая Марфинская улица (8526)";"37.59160114";"55.83330143";"Большая Марфинская улица";"Северо-Восточный административный округ";"район Марфино";"А76к; А85; А76; А599";"Гост. Останкино";"";"да";"ГУП «Мосгортранс»";"активна";"889092671";"{""coordinates"":[37.59160114,55.83330143],""type"":""Point""}";"";
"8528";"«Шайдаровская улица», Кантемировская улица (8528)";"37.67968168";"55.63678482";"Кантемировская улица";"Южный административный округ";"район Москворечье-Сабурово";"А192; А289; А784";"Шайдаровская улица";"";"да";"ГУП «Мосгортранс»";"активна";"889092672";"{""coordinates"":[37.67968168,55.63678482],""type"":""Point""}";"";
"8529";"«МЦД Москворечье», Каспийская улица (8529)";"37.68626883";"55.63747904";"Каспийская улица";"Южный административный округ";"район Москворечье-Сабурово";"А192; А289; А784";"МЦД Москворечье";"";"да";"ГУП «Мосгортранс»";"активна";"889092673";"{""coordinates"":[37.68626883,55.63747904],""type"":""Point""}";"";
"8530";"«Ул. Дмитрия Ульянова», Новочерёмушкинская улица (8530)";"37.58414565";"55.68584148";"Новочерёмушкинская улица";"Юго-Западный административный округ";"Академический район";"А315; А121";"Ул. Дмитрия Ульянова";"";"да";"ГУП «Мосгортранс»";"активна";"889092674";"{""coordinates"":[37.58414565,55.68584148],""type"":""Point""}";"";
"8532";"«Метро Достоевская», Суворовская площадь (8532)";"37.61586163";"55.78081605";"Суворовская площадь";"Центральный административный округ";"Тверской район";"А15; АН6";"Метро Достоевская";"";"да";"ГУП «Мосгортранс»";"активна";"889092675";"{""coordinates"":[37.61586163,55.78081605],""type"":""Point""}";"";
"8541";"«Метро Достоевская», Суворовская площадь (8541)";"37.6170728";"55.78120967";"Суворовская площадь";"Центральный административный округ";"Мещанский район";"АН6; АТ13";"Метро Достоевская";"";"нет";"";"активна";"889092682";"{""coordinates"":[37.6170728,55.78120967],""type"":""Point""}";"";
"8547";"«Детская п-ка», Артековская улица (8547)";"37.61315699";"55.64870062";"Артековская улица";"Южный административный округ";"Нагорный район";"А163";"Детская п-ка";"";"да";"ГУП «Мосгортранс»";"активна";"889092685";"{""coordinates"":[37.61315699,55.64870062],""type"":""Point""}";"";
"8548";"«Ул. Паперника», 1-й Вешняковский проезд (8548)";"37.79213558";"55.72355658";"1-й Вешняковский проезд";"Юго-Восточный административный округ";"Рязанский район";"А51; А725";"Ул. Паперника";"";"нет";"";"активна";"889092686";"{""coordinates"":[37.79213558,55.72355658],""type"":""Point""}";"";
"8550";"«Ул. Паперника», 1-й Вешняковский проезд (8550)";"37.7934141";"55.72290363";"1-й Вешняковский проезд";"Юго-Восточный административный округ";"Рязанский район";"А51; А725; А371";"Ул. Паперника";"";"да";"ГУП «Мосгортранс»";"активна";"889092687";"{""coordinates"":[37.7934141,55.72290363],""type"":""Point""}";"";
"8552";"«Метро Ботанический сад», улица Вильгельма Пика (8552)";"37.63602389";"55.84289741";"улица Вильгельма Пика";"Северо-Восточный административный округ";"Останкинский район";"А603; А428; А154; А33; АН6";"Метро Ботанический сад";"";"да";"ГУП «Мосгортранс»";"активна";"889092688";"{""coordinates"":[37.63602389,55.84289741],""type"":""Point""}";"";
"8553";"«ВГИК», улица Вильгельма Пика (8553)";"37.63673954";"55.83427372";"улица Вильгельма Пика";"Северо-Восточный административный округ";"район Ростокино";"А428; А154";"ВГИК";"";"нет";"";"активна";"889092689";"{""coordinates"":[37.63673954,55.83427372],""type"":""Point""}";"";
"8556";"«Метро Войковская», Старопетровский проезд (8556)";"37.49993048";"55.82072563";"Старопетровский проезд";"Северный административный округ";"Войковский район";"А179; А90; А114; А204; А621; А780; А591; АО27; А282";"Метро Войковская";"";"да";"ГУП «Мосгортранс»";"активна";"889092690";"{""coordinates"":[37.49993048,55.82072563],""type"":""Point""}";"";
"8560";"«МЦД Красный Балтиец», улица Космонавта Волкова (8560)";"37.52539456";"55.81589707";"улица Космонавта Волкова";"Северный административный округ";"район Коптево";"А780; А323";"МЦД Красный Балтиец";"";"да";"ГУП «Мосгортранс»";"активна";"889092692";"{""coordinates"":[37.52539456,55.81589707],""type"":""Point""}";"";
"8561";"«Госпиталь», улица Приорова (8561)";"37.53205756";"55.81710513";"улица Приорова";"Северный административный округ";"район Коптево";"А780; А323";"Госпиталь";"";"да";"ГУП «Мосгортранс»";"активна";"889092693";"{""coordinates"":[37.53205756,55.81710513],""type"":""Point""}";"";
"8562";"«ЦИТО», улица Приорова (8562)";"37.52906136";"55.81874173";"улица Приорова";"Северный административный округ";"район Коптево";"А780; А323";"ЦИТО";"";"да";"ГУП «Мосгортранс»";"активна";"889092694";"{""coordinates"":[37.52906136,55.81874173],""type"":""Point""}";"";
"8567";"«Восточная ул.», Пересветов переулок (8567)";"37.66155343";"55.71598512";"Пересветов переулок";"Южный административный округ";"Даниловский район";"А9";"Восточная ул.";"";"да";"ГУП «Мосгортранс»";"активна";"889092698";"{""coordinates"":[37.66155343,55.71598512],""type"":""Point""}";"";
"8569";"«Метро Волжская», Краснодонская улица (8569)";"37.75562001";"55.69031893";"Краснодонская улица";"Юго-Восточный административный округ";"район Люблино";"А872к; А870к; А312; А530; А551; А658; А713; А228; АН5; АТ74";"Метро Волжская";"";"да";"ГУП «Мосгортранс»";"активна";"889092699";"{""coordinates"":[37.75562001,55.69031893],""type"":""Point""}";"";
"8570";"«Ул. Бориса Жигуленкова, 27», улица Бориса Жигулёнкова (8570)";"37.73897282";"55.76584357";"улица Бориса Жигулёнкова";"Восточный административный округ";"район Соколиная Гора";"А36; А83; А86";"Ул. Бориса Жигуленкова, 27";"";"да";"ГУП «Мосгортранс»";"активна";"889092700";"{""coordinates"":[37.73897282,55.76584357],""type"":""Point""}";"";
"8572";"«Метро Волжская», Краснодонская улица (8572)";"37.75515065";"55.69023371";"Краснодонская улица";"Юго-Восточный административный округ";"район Текстильщики";"А872к; А870к; А312; А530; А551; А658; А713; А228; АН5; АС4; АТ74";"Метро Волжская";"";"да";"ГУП «Мосгортранс»";"активна";"889092701";"{""coordinates"":[37.75515065,55.69023371],""type"":""Point""}";"";
"8573";"«Стройкомплекс Люблинское поле», Тихорецкий бульвар (8573)";"37.77687053";"55.67892751";"Тихорецкий бульвар";"Юго-Восточный административный округ";"район Люблино";"А658";"Стройкомплекс Люблинское поле";"";"да";"ГУП «Мосгортранс»";"активна";"889092702";"{""coordinates"":[37.77687053,55.67892751],""type"":""Point""}";"";
"8574";"«Краснодарская ул., 52», Краснодарская улица (8574)";"37.7667842";"55.67635243";"Краснодарская улица";"Юго-Восточный административный округ";"район Люблино";"А518к; А315к; А553к; А872к; А870к; А954к; А1210к; А1121; А30; А530; А551; А658; А242; А619; А657; АН5; АС4; А201; А280";"Краснодарская ул., 52";"";"да";"ГУП «Мосгортранс»";"активна";"889092703";"{""coordinates"":[37.7667842,55.67635243],""type"":""Point""}";"";
"8575";"«Стройкомплекс Люблинское поле», Тихорецкий бульвар (8575)";"37.77847723";"55.67972925";"Тихорецкий бульвар";"Юго-Восточный административный округ";"район Люблино";"А658";"Стройкомплекс Люблинское поле";"";"да";"ГУП «Мосгортранс»";"активна";"889092704";"{""coordinates"":[37.77847723,55.67972925],""type"":""Point""}";"";
"8576";"«Ул. Головачева», улица Головачёва (8576)";"37.80977393";"55.67280979";"улица Головачёва";"Юго-Восточный административный округ";"район Люблино";"А54; А242; А228; А981; АС4";"Ул. Головачева";"";"да";"ГУП «Мосгортранс»";"активна";"889092705";"{""coordinates"":[37.80977393,55.67280979],""type"":""Point""}";"";
"8578";"«Метродепо», Южнопортовая улица (8578)";"37.71087488";"55.69679245";"Южнопортовая улица";"Юго-Восточный административный округ";"район Печатники";"А736; А193";"Метродепо";"";"да";"ГУП «Мосгортранс»";"активна";"889092706";"{""coordinates"":[37.71087488,55.69679245],""type"":""Point""}";"";
"8579";"«Метродепо», Проектируемый проезд № 3683 (8579)";"37.71500442";"55.70003791";"проезд без названия";"Юго-Восточный административный округ";"район Печатники";"А736; А193";"Метродепо";"";"да";"ГУП «Мосгортранс»";"активна";"889092707";"{""coordinates"":[37.71500442,55.70003791],""type"":""Point""}";"";
